Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts,Flow_Pkts,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts,Bwd_Pkts,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down_Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts_Avg,Fwd_Pkts_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts_Avg,Bwd_Pkts_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
10.1.100.3-10.1.100.100-1145-53144-6,10.1.100.100,53144,10.1.100.3,1145,6,02/04/2019 17:03,140,0,2,0,0,0,0,0,0,0,0,0,0,0,14285.71429,140,0,140,140,0,0,0,0,0,140,140,0,140,140,0,0,0,0,0,60,0,14285.71429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-5987-41026-6,10.1.100.100,41026,10.1.100.3,5987,6,02/04/2019 17:03,69,0,2,0,0,0,0,0,0,0,0,0,0,0,28985.50725,69,0,69,69,0,0,0,0,0,69,69,0,69,69,0,0,0,0,0,60,0,28985.50725,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-8290-47182-6,10.1.100.100,47182,10.1.100.3,8290,6,02/04/2019 17:02,74,0,2,0,0,0,0,0,0,0,0,0,0,0,27027.02703,74,0,74,74,0,0,0,0,0,74,74,0,74,74,0,0,0,0,0,60,0,27027.02703,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-19283-52564-6,10.1.100.100,52564,10.1.100.3,19283,6,02/04/2019 17:02,77,0,2,0,0,0,0,0,0,0,0,0,0,0,25974.02597,77,0,77,77,0,0,0,0,0,77,77,0,77,77,0,0,0,0,0,60,0,25974.02597,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-1154-47494-6,10.1.100.100,47494,10.1.100.3,1154,6,02/04/2019 17:03,112,0,2,0,0,0,0,0,0,0,0,0,0,0,17857.14286,112,0,112,112,0,0,0,0,0,112,112,0,112,112,0,0,0,0,0,60,0,17857.14286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-543-34384-6,10.1.100.100,34384,10.1.100.3,543,6,02/04/2019 17:02,69,0,2,0,0,0,0,0,0,0,0,0,0,0,28985.50725,69,0,69,69,0,0,0,0,0,69,69,0,69,69,0,0,0,0,0,60,0,28985.50725,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-1104-42430-6,10.1.100.100,42430,10.1.100.3,1104,6,02/04/2019 17:03,74,0,2,0,0,0,0,0,0,0,0,0,0,0,27027.02703,74,0,74,74,0,0,0,0,0,74,74,0,74,74,0,0,0,0,0,60,0,27027.02703,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-10010-33536-6,10.1.100.100,33536,10.1.100.3,10010,6,02/04/2019 17:03,118,0,2,0,0,0,0,0,0,0,0,0,0,0,16949.15254,118,0,118,118,0,0,0,0,0,118,118,0,118,118,0,0,0,0,0,60,0,16949.15254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-9666-49862-6,10.1.100.100,49862,10.1.100.3,9666,6,02/04/2019 17:02,87,0,2,0,0,0,0,0,0,0,0,0,0,0,22988.50575,87,0,87,87,0,0,0,0,0,87,87,0,87,87,0,0,0,0,0,60,0,22988.50575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
10.1.100.3-10.1.100.100-1580-52222-6,10.1.100.100,52222,10.1.100.3,1580,6,02/04/2019 17:03,96,0,2,0,0,0,0,0,0,0,0,0,0,0,20833.33333,96,0,96,96,0,0,0,0,0,96,96,0,96,96,0,0,0,0,0,60,0,20833.33333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,portscan
